idea_id,family,description,final_balance,deposited,cagr_percent,daily_drawdown,closed_drawdown,trades,days_in_position,dd_improvement_pp,cagr_change_pp,cagr_retention
13,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.005, ""minutes"": 120}",19277289444.844353,10000.0,471.2940608082658,0.8778012417578414,0.8612978071662476,376,1030,-3.1077524838902137,-379.92278410438786,0.5536709754100636
14,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.01, ""minutes"": 120}",46944060690.300064,10000.0,535.9267680203479,0.801894158054351,0.801894158054351,376,1127,4.482955886458817,-315.2900768923057,0.6296007547587258
15,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.015, ""minutes"": 120}",437535638865.10645,10000.0,732.0481013982885,0.8318050333125444,0.8033144972974537,376,1165,1.4918683606394811,-119.16874351436513,0.8600018970176824
16,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": 0.0, ""minutes"": 240}",613458583.9319795,10000.0,277.1864868101353,0.6544268347293916,0.6544268347293916,376,755,19.229688218954767,-574.0303581025183,0.32563557507908386
17,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.0025, ""minutes"": 240}",6487774401.843257,10000.0,401.07871323929487,0.6549410954472189,0.6549410954472189,376,912,19.17826214717203,-450.13813167335877,0.4711827727991579
18,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.005, ""minutes"": 240}",20819898977.031704,10000.0,476.61474762157366,0.6282012604380254,0.6390983255088936,376,1000,21.852245648091383,-374.60209729108,0.5599216585880425
19,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.01, ""minutes"": 240}",4468429881.724508,10000.0,379.07628189345104,0.8884143883225513,0.8695069930241958,376,1102,-4.1690671403612045,-472.1405630192026,0.4453345632890399
20,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.015, ""minutes"": 240}",89751466539.37909,10000.0,587.5452338722424,0.7988317744209614,0.7647565408645449,376,1146,4.789194249797779,-263.6716110404112,0.6902415493581221
21,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": 0.0, ""minutes"": 360}",15128176.276229994,10000.0,141.5000484185006,0.7469052903582609,0.7469052903582609,376,737,9.98184265606783,-709.7167964941531,0.16623266945923798
22,intraday_time_stop,"{""family"": ""intraday_time_stop"", ""minimum_return"": -0.0025, ""minutes"": 360}",432698308.41319996,10000.0,261.65968358603425,0.7005271997235815,0.7005271997235815,376,884,14.619651719535776,-589.5571613266194,0.30739486083934825
