idea_id,description,final_balance,cagr_percent,daily_drawdown,closed_drawdown,dd_improvement_pp,cagr_change_pp,cagr_retention,trades,days_in_position,structural_exits
92,OR15 entry-1.00% persist-5m slow-45m/-1.50%,299240394611.10944,694.8397371296708,0.7133943834948893,0.7133943834948893,13.332933342404996,-156.37710778298288,0.8162899280981343,376,1132,27
93,OR15 entry-1.00% persist-5m slow-60m/-0.75%,68463804.67260998,189.65101174134963,0.8278614367439049,0.8250231640613022,1.886228017503433,-661.565833171304,0.22279988098779976,376,950,114
94,OR15 entry-1.00% persist-5m slow-60m/-1.00%,1058850066.4267498,302.81175722189096,0.7535136805455979,0.7456827466230099,9.321003637334135,-548.4050876907627,0.35573985528089913,376,1009,82
95,OR15 entry-1.00% persist-5m slow-60m/-1.25%,12480145731.468508,442.15168246041713,0.8012808678527489,0.7714143287959486,4.544284906619033,-409.0651624522365,0.5194348362617142,376,1046,63
96,OR15 entry-1.00% persist-5m slow-60m/-1.50%,340940740508.7515,707.425646525498,0.6840631050521315,0.6840631050521315,16.26606118668077,-143.79119838715565,0.8310757132609252,376,1117,32
97,OR15 entry-1.00% persist-10m slow-30m/-0.75%,934042362.3916402,296.77380188238436,0.7979783385294172,0.7915600582556505,4.874537838952198,-554.4430430302693,0.3486465330850418,376,1005,82
98,OR15 entry-1.00% persist-10m slow-30m/-1.00%,45242775168.54872,533.1061990389435,0.6585303210138913,0.6214894801173918,18.81933959050479,-318.11064587371015,0.626287181962015,376,1065,54
99,OR15 entry-1.00% persist-10m slow-30m/-1.25%,237949369371.46637,673.2025142666256,0.7327787925104323,0.6763814732769764,11.39449244085069,-178.01433064602804,0.7908707614165051,376,1123,29
100,OR15 entry-1.00% persist-10m slow-30m/-1.50%,133623587069.83545,621.2988769829853,0.8280799734552058,0.8203642541665437,1.864374346373343,-229.9179679296683,0.7298949506182987,376,1154,14
101,OR15 entry-1.00% persist-10m slow-45m/-0.75%,175912816.48854017,224.5103098896132,0.7987629665190568,0.7923696140788277,4.796075039988246,-626.7065350230405,0.26375219338222916,376,961,107
102,OR15 entry-1.00% persist-10m slow-45m/-1.00%,1395126218.1052203,316.41484650761134,0.797632803057814,0.7912035450330223,4.909091386112518,-534.8019984050422,0.3717206119670714,376,1015,76
103,OR15 entry-1.00% persist-10m slow-45m/-1.25%,54563975861.42073,547.550638176179,0.7385535412279803,0.7342427329589937,10.817017569095889,-303.6662067364747,0.6432563470150371,376,1084,48
104,OR15 entry-1.00% persist-10m slow-45m/-1.50%,297756774608.81287,694.3641415236452,0.7404021158020613,0.7404021158020613,10.632160111687794,-156.8527033890084,0.81573120371566,376,1133,26
105,OR15 entry-1.00% persist-10m slow-60m/-0.75%,98498988.52684997,202.62043429433967,0.8213589043613572,0.818413415958581,2.536481255758205,-648.5964106183139,0.23803621310517095,376,952,113
106,OR15 entry-1.00% persist-10m slow-60m/-1.00%,947752899.58742,297.47067033286163,0.7429378929636368,0.7334894454543646,10.378582395530245,-553.7461745797921,0.34946520632282146,376,1010,81
107,OR15 entry-1.00% persist-10m slow-60m/-1.25%,9598757551.309853,425.2815044534766,0.8012808678527489,0.7714143287959486,4.544284906619033,-425.93534045917704,0.4996159403977916,376,1047,62
108,OR15 entry-1.00% persist-10m slow-60m/-1.50%,220390615986.2812,666.0978144520913,0.7084907375279552,0.7084907375279552,13.8232979390984,-185.11903046056239,0.7825242397786922,376,1118,31
109,OR15 entry-1.00% persist-15m slow-30m/-0.75%,820353399.6769398,290.6207545400208,0.8023444449147942,0.7960648769666386,4.437927200414505,-560.5960903726328,0.34141800209539136,376,1008,80
110,OR15 entry-1.00% persist-15m slow-30m/-1.00%,27004943616.7059,494.9619747245418,0.6670442844820501,0.6371795229023646,17.96794324368891,-356.25487018811185,0.5814757751596558,376,1066,53
111,OR15 entry-1.00% persist-15m slow-30m/-1.25%,168768074404.38214,641.8685165546925,0.7394491867232397,0.6934609065304744,10.727453019569955,-209.34832835796112,0.7540599324259812,376,1124,28
112,OR15 entry-1.00% persist-15m slow-30m/-1.50%,99009753014.43825,595.7218644538287,0.8417546286393024,0.8193738045757106,0.4969088279636824,-255.4949804588249,0.6998473632355782,376,1155,14
113,OR15 entry-1.00% persist-15m slow-45m/-0.75%,194177417.37293008,228.39366082739733,0.8179103492099746,0.8149079999870807,2.881336770896459,-622.8231840852563,0.26831431049844134,376,967,103
114,OR15 entry-1.00% persist-15m slow-45m/-1.00%,1283670180.1669111,312.2605030565238,0.8344737351173099,0.8292149230030379,1.2249981801629284,-538.9563418561298,0.3668401358863686,376,1019,74
115,OR15 entry-1.00% persist-15m slow-45m/-1.25%,58669735225.842926,553.2328493093563,0.7350962426561141,0.7307284294028491,11.162747426282515,-297.98399560329733,0.6499317449082266,376,1084,48
116,OR15 entry-1.00% persist-15m slow-45m/-1.50%,321043050833.4881,701.5998662733671,0.7212949061723428,0.7212949061723428,12.54288107465964,-149.61697863928657,0.8242316519774238,376,1133,26
117,OR15 entry-1.00% persist-15m slow-60m/-0.75%,164574897.42828017,221.9172237251497,0.783270374262903,0.7796968706585703,6.345334265603619,-629.2996211875039,0.2607058648468375,376,957,109
118,OR15 entry-1.00% persist-15m slow-60m/-1.00%,1654740190.6832106,325.06119849179225,0.7525357311912781,0.7363656130818301,9.418798572766107,-526.1556464208613,0.38187824927871106,376,1013,80
119,OR15 entry-1.00% persist-15m slow-60m/-1.25%,10360340408.603682,430.1334314865147,0.8012808678527489,0.7714143287959486,4.544284906619033,-421.0834134261389,0.5053159298447063,376,1047,62
120,OR15 entry-1.00% persist-15m slow-60m/-1.50%,238675400306.08188,673.4862334506656,0.686937733925129,0.686937733925129,15.97859829938102,-177.73061146198802,0.7912040715310027,376,1118,31
121,OR15 entry-1.50% persist-1m slow-30m/-0.75%,2863729702.203788,354.0841269995994,0.8215300010001921,0.8158599631156337,2.5193715918747084,-497.13271791305425,0.41597406009503163,376,1067,56
122,OR15 entry-1.50% persist-1m slow-30m/-1.00%,194818501528.66782,654.803761186844,0.6524898000820993,0.6414493114293982,19.423391683683988,-196.41308372580966,0.7692561127053773,376,1104,37
123,OR15 entry-1.50% persist-1m slow-30m/-1.25%,223006889895.49847,667.1873082978278,0.7443993285425812,0.6904545357624929,10.232438837635804,-184.02953661482582,0.783804164926142,376,1136,23
124,OR15 entry-1.50% persist-1m slow-30m/-1.50%,168155941590.5151,641.5439655034332,0.8400953103783302,0.8200704442818743,0.6628406540609033,-209.6728794092204,0.7536786534919482,376,1153,13
125,OR15 entry-1.50% persist-1m slow-45m/-0.75%,1348159861.0709295,314.70118049684464,0.8145083480885132,0.8086152304805023,3.221536883042597,-536.5156644158089,0.36970741636243964,376,1045,72
126,OR15 entry-1.50% persist-1m slow-45m/-1.00%,30624552844.682236,504.0424447444647,0.775046344613168,0.7678995089799442,7.167737230577121,-347.1744001681889,0.592143409469518,376,1089,47
127,OR15 entry-1.50% persist-1m slow-45m/-1.25%,82600962742.31157,580.7055252592714,0.6536289482058514,0.6536289482058514,19.309476871308785,-270.5113196533822,0.6822063364110935,376,1116,34
128,OR15 entry-1.50% persist-1m slow-45m/-1.50%,323102719671.487,702.2174225161406,0.7100722338412335,0.7100722338412335,13.665148307770568,-148.99942239651307,0.8249571501233597,376,1137,22
129,OR15 entry-1.50% persist-1m slow-60m/-0.75%,672853357.0892403,281.4075585946479,0.8009180130756279,0.7945931270201538,4.5805703843311285,-569.8092863180057,0.33059444285730055,376,1035,78
130,OR15 entry-1.50% persist-1m slow-60m/-1.00%,16386998135.687708,460.2273789246079,0.8350833320552495,0.829843886992873,1.164038486368968,-390.98946598804577,0.5406699616850668,376,1076,54
131,OR15 entry-1.50% persist-1m slow-60m/-1.25%,50916749240.26067,542.1782713168387,0.6283505273756504,0.612717664063467,21.83731895432888,-309.0385735958149,0.6369449506987536,376,1091,44
132,OR15 entry-1.50% persist-1m slow-60m/-1.50%,305535675142.8962,696.8349865638334,0.6716658965842048,0.6716658965842048,17.505782033473437,-154.3818583488203,0.8186339247496189,376,1131,26
133,OR15 entry-1.50% persist-3m slow-30m/-0.75%,3024061810.616612,357.0727697311382,0.826663605732634,0.8211566637940632,2.006011118630524,-494.14407518151546,0.41948508404785934,376,1068,55
134,OR15 entry-1.50% persist-3m slow-30m/-1.00%,188779422329.0116,651.9469720862836,0.6524897999992535,0.6414493113439204,19.423391691968572,-199.26987282637003,0.7658999889190189,376,1104,37
135,OR15 entry-1.50% persist-3m slow-30m/-1.25%,215582115465.8451,664.0653994980016,0.7443938020327734,0.6904478428769292,10.232991488616584,-187.15144541465202,0.7801365814913399,376,1136,23
136,OR15 entry-1.50% persist-3m slow-30m/-1.50%,162560994828.39404,638.5283898104049,0.8400960222453608,0.8200737671502437,0.6627694673578377,-212.68845510224878,0.7501359889981107,376,1153,13
137,OR15 entry-1.50% persist-3m slow-45m/-0.75%,2726049121.138039,351.3978463905831,0.820335031968315,0.8146270296095055,2.6388684950624186,-499.81899852207056,0.41281824777168413,376,1048,70
138,OR15 entry-1.50% persist-3m slow-45m/-1.00%,29601897918.363525,501.5769723411209,0.7750463446204597,0.7678995089874676,7.167737229847948,-349.63987257153275,0.5892470001490507,376,1089,47
139,OR15 entry-1.50% persist-3m slow-45m/-1.25%,69217403839.19276,566.3685306774629,0.6536289694250357,0.6536289694250357,19.309474749390354,-284.84831423519074,0.6653633960164169,376,1116,34
140,OR15 entry-1.50% persist-3m slow-45m/-1.50%,312402353334.94006,698.9705195128437,0.7168363900476662,0.7168363900476662,12.988732687127303,-152.24632539980996,0.8211427249005716,376,1137,22
141,OR15 entry-1.50% persist-3m slow-60m/-0.75%,742099555.97636,285.93331578453393,0.8040700247768293,0.7978452789458106,4.26536921421099,-565.2835291281197,0.3359112516316269,376,1036,77
142,OR15 entry-1.50% persist-3m slow-60m/-1.00%,15551717925.214016,456.708958825202,0.8350833318881334,0.8298438868204476,1.1640385030805778,-394.50788608745165,0.5365365612237931,376,1076,54
143,OR15 entry-1.50% persist-3m slow-60m/-1.25%,48725104971.01178,538.7848260821928,0.6283505273756504,0.6123018232493996,21.83731895432888,-312.43201883046083,0.6329583693065653,376,1091,44
144,OR15 entry-1.50% persist-3m slow-60m/-1.50%,295243332252.60736,693.5536440564082,0.6753587139977318,0.6753587139977318,17.136500292120736,-157.66320085624545,0.8147790403837417,376,1131,26
145,OR15 entry-1.50% persist-5m slow-30m/-0.75%,6479445591.834129,401.0012054370426,0.8257358473228318,0.8201994302603703,2.0987869596107434,-450.21563947561106,0.47109171750259565,376,1072,53
146,OR15 entry-1.50% persist-5m slow-30m/-1.00%,183193193918.83942,649.23191306785,0.6524898000257596,0.6414493113712685,19.42339168931796,-201.98493184480367,0.7627103680431394,376,1104,37
147,OR15 entry-1.50% persist-5m slow-30m/-1.25%,212355076172.7995,662.6789451240415,0.7443924018751715,0.6904461472145806,10.233131504376768,-188.5378997886121,0.7785077904467943,376,1136,23
148,OR15 entry-1.50% persist-5m slow-30m/-1.50%,160128480379.11237,637.1887477207455,0.8400952186240052,0.8200715021809423,0.662849829493406,-214.02809719190816,0.7485621924999964,376,1153,13
149,OR15 entry-1.50% persist-5m slow-45m/-0.75%,2328917250.08989,342.9197554802954,0.8296363444945609,0.8242238472329413,1.70873724243783,-508.29708943235823,0.4028582816820121,376,1048,70
150,OR15 entry-1.50% persist-5m slow-45m/-1.00%,26213300980.96508,492.83408552104675,0.7750463448822965,0.767899509257623,7.16773720366427,-358.3827593916069,0.5789759547951828,376,1089,47
151,OR15 entry-1.50% persist-5m slow-45m/-1.25%,65826061889.291916,562.3494405803078,0.6536289707336327,0.6536289707336327,19.309474618530654,-288.8674043323458,0.6606418140585698,376,1116,34
152,OR15 entry-1.50% persist-5m slow-45m/-1.50%,307694544168.0535,697.5109045296693,0.7133943834948893,0.7133943834948893,13.332933342404996,-153.7059403829843,0.8194279855930757,376,1137,22
153,OR15 entry-1.50% persist-5m slow-60m/-0.75%,1337641201.4913292,314.3101990340973,0.8047454501096141,0.7985421627155681,4.197826680932515,-536.9066458785563,0.3692480957262421,376,1039,76
154,OR15 entry-1.50% persist-5m slow-60m/-1.00%,14469668324.31123,451.8951893275989,0.8350833317305318,0.829843886657839,1.1640385188407376,-399.3216555850547,0.530881398821436,376,1076,54
155,OR15 entry-1.50% persist-5m slow-60m/-1.25%,48131458732.747475,537.8425566420186,0.6283505273756504,0.6125212615326338,21.83731895432888,-313.374288270635,0.6318514017391286,376,1091,44
156,OR15 entry-1.50% persist-5m slow-60m/-1.50%,290787860299.4326,692.1018767894464,0.6840633146101112,0.6840633146101112,16.266040230882805,-159.1149681232073,0.8130735204852124,376,1131,26
157,OR15 entry-1.50% persist-10m slow-30m/-0.75%,5119023443.082452,386.98261824502407,0.83485881364577,0.829612235575635,1.1864903273169247,-464.23422666762957,0.45462283853738084,376,1072,53
158,OR15 entry-1.50% persist-10m slow-30m/-1.00%,182722097728.88806,648.9996312939827,0.6524898000492416,0.6414493113954964,19.423391686969758,-202.21721361867094,0.7624374860210607,376,1105,36
159,OR15 entry-1.50% persist-10m slow-30m/-1.25%,351548095707.45013,710.4101299832715,0.7443984853153459,0.6904535145712554,10.23252316035933,-140.8067149293821,0.8345818509455945,376,1138,21
160,OR15 entry-1.50% persist-10m slow-30m/-1.50%,159509168935.4782,636.8448209242418,0.8401007334413934,0.820073441599188,0.6622983477545863,-214.3720239884118,0.7481581511578178,376,1154,12
161,OR15 entry-1.50% persist-10m slow-45m/-0.75%,2293180174.738109,342.09571938781124,0.829636344269756,0.8242238470009943,1.7087372649183252,-509.1211255248424,0.40189021332503694,376,1051,67
162,OR15 entry-1.50% persist-10m slow-45m/-1.00%,28693875761.732216,499.32424720054513,0.7750463447059974,0.7678995090757229,7.167737221294179,-351.8925977121085,0.5866005239261713,376,1091,45
163,OR15 entry-1.50% persist-10m slow-45m/-1.25%,111964092602.37686,606.1001405927127,0.6630247827332023,0.6630247827332023,18.36989341857369,-245.11670431994094,0.7120396456145165,376,1118,32
164,OR15 entry-1.50% persist-10m slow-45m/-1.50%,306350906514.6951,697.0907186434255,0.7404021158020613,0.7404021158020613,10.632160111687794,-154.12612626922817,0.8189343559277853,376,1138,21
165,OR15 entry-1.50% persist-10m slow-60m/-0.75%,1050982157.8193604,302.4501330570241,0.8098111372320421,0.803768788024002,3.6912579686897096,-548.7667118556295,0.3553150232689058,376,1040,75
166,OR15 entry-1.50% persist-10m slow-60m/-1.00%,11745604423.018763,438.2057957567045,0.83508333146104,0.8298438863797852,1.164038545789925,-413.01104915594914,0.5147992528292487,376,1077,53
167,OR15 entry-1.50% persist-10m slow-60m/-1.25%,37616832570.25256,519.1881976696578,0.6727088648311794,0.6727088648311794,17.40148520877598,-332.0286472429958,0.6099364700929216,376,1092,43
168,OR15 entry-1.50% persist-10m slow-60m/-1.50%,189275383861.18347,652.1845938573841,0.7295621996238792,0.7295621996238792,11.716151729505997,-199.0322510552695,0.7661791443099403,376,1132,25
169,OR15 entry-1.50% persist-15m slow-30m/-0.75%,4191290459.887722,375.3965926607339,0.8346732612283905,0.8294207881101129,1.2050455690548745,-475.8202522519197,0.44101170565915515,376,1073,52
170,OR15 entry-1.50% persist-15m slow-30m/-1.00%,138723509214.21988,624.5596725091626,0.6717977476277525,0.6717977476277525,17.492596929118676,-226.65717240349102,0.7337256966211129,376,1105,36
171,OR15 entry-1.50% persist-15m slow-30m/-1.25%,284574813107.9472,690.0444084104383,0.7454182635632086,0.6916885180998222,10.13054533557306,-161.1724365022153,0.8106564297153286,376,1139,20
172,OR15 entry-1.50% persist-15m slow-30m/-1.50%,159288915870.8225,636.7222229899721,0.8511092613482234,0.8196857130545233,-0.4385544429284183,-214.49462192268152,0.7480141244800066,376,1155,12
173,OR15 entry-1.50% persist-15m slow-45m/-0.75%,1495913690.4016864,319.92735097222436,0.8382006765335368,0.8330602703090051,0.8523040385402414,-531.2894939404293,0.3758470628069552,376,1052,66
174,OR15 entry-1.50% persist-15m slow-45m/-1.00%,26797051775.069107,494.4085414205879,0.7750463453034439,0.7678995096921503,7.167737161549537,-356.80830349206576,0.58082560792288,376,1091,45
175,OR15 entry-1.50% persist-15m slow-45m/-1.25%,118043015890.47025,610.6101043308979,0.6536289609770884,0.6536289609770884,19.309475594185077,-240.60674058175573,0.7173379004189641,376,1118,32
176,OR15 entry-1.50% persist-15m slow-45m/-1.50%,328061092872.9658,703.690022075512,0.7212949061723428,0.7212949061723428,12.54288107465964,-147.5268228371416,0.826687143565304,376,1138,21
177,OR15 entry-1.50% persist-15m slow-60m/-0.75%,837305873.5836394,291.5840958217696,0.835325445147474,0.8300936920804634,1.139827177146524,-559.6327490908841,0.3425497246259149,376,1041,74
178,OR15 entry-1.50% persist-15m slow-60m/-1.00%,11605269308.491636,437.4273300824086,0.8350833317594492,0.829843886687675,1.1640385159490063,-413.789514830245,0.5138847200883279,376,1077,53
179,OR15 entry-1.50% persist-15m slow-60m/-1.25%,38513531185.4196,520.9472730292019,0.6573462093352359,0.6573462093352359,18.93775075837033,-330.2695718834517,0.6120030120910709,376,1092,43
180,OR15 entry-1.50% persist-15m slow-60m/-1.50%,204897671113.77136,659.4026804619357,0.7095175584752432,0.7095175584752432,13.720615844369599,-191.81416445071795,0.7746588714766321,376,1132,25
181,OR15 entry-2.00% persist-1m slow-30m/-0.75%,2289150748.4430795,342.0021003604789,0.797540741054096,0.791108558195709,4.9182975864843215,-509.21474455217475,0.4017802307419949,376,1088,47
182,OR15 entry-2.00% persist-1m slow-30m/-1.00%,67601496046.13503,564.4756444164321,0.8073352617398672,0.8065991884905631,3.938845517907197,-286.7412004962215,0.663139654472363,376,1125,31
