Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2020-01-10,Yes,2023-11-10,198.0,198,138991.89827198925,21151567.026501987
2020-01-17,Yes,2023-11-10,197.0,197,138277.58423635334,20092508.295286357
2020-01-24,Yes,2023-11-17,197.0,197,138456.55913526635,24119616.02281527
2020-01-31,Yes,2023-11-17,196.0,196,137725.28396197737,22827025.181121975
2020-02-07,Yes,2023-11-17,195.0,195,137728.38026505013,21673987.20569505
2020-02-14,Yes,2023-11-17,194.0,194,136790.0136853782,21357319.731615376
2020-02-21,Yes,2023-11-17,193.0,193,135992.94073720402,20129338.107747205
2020-02-28,Yes,2023-11-24,193.0,193,136921.69184421437,22074683.612864215
2020-03-06,Yes,2023-11-24,192.0,192,137421.5425112099,20971087.144591212
2020-03-27,Yes,2023-12-15,194.0,194,140731.70951120992,20635485.277271207
2020-04-03,Yes,2024-01-19,198.0,198,145749.0898863253,20957932.859866325
2020-04-09,Yes,2024-01-19,197.0,197,141144.63849409117,21529820.87824409
2020-04-17,Yes,2024-01-19,196.0,196,141434.35406611598,20246691.69448612
2020-04-24,Yes,2024-02-02,197.0,197,144790.94746518275,21636524.93884518
2020-05-01,Yes,2024-02-02,196.0,196,145694.31569873946,20353701.37863874
2020-05-08,Yes,2024-02-09,196.0,196,146359.4210179325,23678797.82433793
2020-05-15,Yes,2024-02-09,195.0,195,146678.5130985,22214794.4438385
2020-05-22,Yes,2024-02-09,194.0,194,146275.1133,20756255.222090002
2020-05-29,Yes,2024-06-28,213.0,213,166415.15899999999,20388520.29067
2020-06-05,Yes,2024-07-05,213.0,213,168832.76172006916,26176011.432660073
2020-06-12,Yes,2024-07-05,212.0,212,169704.9131866544,25238610.429816652
2020-06-19,Yes,2024-07-05,211.0,211,170315.80728153203,24265847.052641533
2020-06-26,Yes,2024-07-05,210.0,210,170794.6838800648,23356405.877960067
2020-07-02,Yes,2024-07-05,209.0,209,171099.23200000002,22424048.012519993
2020-07-10,Yes,2024-07-05,208.0,208,172507.63362837737,21309112.498838376
2020-07-17,Yes,2024-07-05,207.0,207,172278.45987883004,20708918.118148826
2020-07-24,Yes,2024-07-05,206.0,206,172153.54212328233,20131502.90593328
2020-07-31,Yes,2024-07-05,205.0,205,172212.65098400222,20488333.830634
2020-08-07,Yes,2024-08-16,210.0,210,177749.2357693801,20594459.385689378
2020-08-14,Yes,2024-08-16,209.0,209,177078.82753050732,20023201.949730508
2020-08-21,Yes,2024-08-23,209.0,209,178339.47389043757,22687428.02052044
2020-08-28,Yes,2024-08-23,208.0,208,177506.16761285893,22069609.68647286
2020-09-04,Yes,2024-08-23,207.0,207,177243.4738783339,21476661.690828335
2020-09-11,Yes,2024-08-23,206.0,206,177051.2148962029,21030296.210516203
2020-09-18,Yes,2024-08-23,205.0,205,176353.98040306498,20492268.835333064
