Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Total capital incl. $600,Final balance,Catch-up top-ups,Flat $115 top-ups,Catch-up weeks,Flat weeks,Tax paid
2021-10-15,Yes,2024-11-22,162.0,162,107721.15888006479,108321.15888006479,21059195.307980068,82881.15888006479,24840.0,90,72,388109.61989999993
2021-10-22,Yes,2024-11-22,161.0,161,106111.04529923155,106711.04529923155,20623190.10516923,80236.04529923155,25875.0,86,75,379982.63913
2021-10-29,Yes,2024-11-22,160.0,160,104939.72226505012,105539.72226505012,20220540.69168505,78719.72226505012,26220.0,84,76,372347.74658000004
2021-11-05,Yes,2024-12-06,161.0,161,104092.983856229,104692.983856229,20745565.98708623,76837.983856229,27255.0,82,79,361940.09776999993
2021-11-12,Yes,2024-12-06,160.0,160,101716.77885622895,102316.77885622895,20023533.983896226,74116.77885622895,27600.0,80,80,349112.77995999996
2021-11-19,Yes,2024-12-20,161.0,161,101109.91707405944,101709.91707405944,20811940.763504058,73509.91707405944,27600.0,81,80,337976.50357000006
2021-11-26,Yes,2024-12-20,160.0,160,99452.94440306498,100052.94440306498,20258224.552263066,71162.94440306498,28290.0,78,82,328693.14214
2021-12-03,Yes,2024-12-27,160.0,160,98629.54251120992,99229.54251120992,21680529.41131121,68959.54251120992,29670.0,74,86,321386.2312
2021-12-10,Yes,2024-12-27,159.0,159,97990.39633580418,98590.39633580418,21261416.608275805,68320.39633580418,29670.0,73,86,314874.83506
2021-12-17,Yes,2024-12-27,158.0,158,96801.09678545855,97401.09678545855,20563962.109415453,67131.09678545855,29670.0,72,86,304189.14936999994
2021-12-23,Yes,2024-12-27,157.0,157,96171.48538250604,96771.48538250604,20122300.079822507,66156.48538250604,30015.0,70,87,297323.82256
2021-12-31,Yes,2025-01-24,160.0,160,96831.60679187182,97431.60679187182,20461398.308131866,65436.60679187182,31395.0,69,91,3748903.777659999
2022-01-07,Yes,2025-01-31,160.0,160,95032.37843349333,95632.37843349333,22628356.207453493,63292.37843349333,31740.0,68,92,3624178.89098
2022-01-14,Yes,2025-01-31,159.0,159,93934.55993971882,94534.55993971882,21944219.65934972,61504.55993971882,32430.0,65,94,3514187.5335899997
2022-01-21,Yes,2025-01-31,158.0,158,92375.79938250605,92975.79938250605,21312859.411742505,60290.799382506055,32085.0,65,93,3412809.06164
2022-01-28,Yes,2025-01-31,157.0,157,91841.46179187181,92441.46179187181,20766888.323101874,59756.46179187182,32085.0,64,93,3324955.73969
2022-02-04,Yes,2025-01-31,156.0,156,91388.16317404002,91988.16317404002,20226297.875934035,59303.16317404002,32085.0,63,93,3237944.29824
2022-02-11,Yes,2025-02-07,156.0,156,89864.8750277895,90464.8750277895,21799123.908367787,56744.87502778949,33120.0,60,96,3134189.4246599996
2022-02-18,Yes,2025-02-07,155.0,155,89154.44414621004,89754.44414621004,21299027.41866621,56034.44414621004,33120.0,59,96,3061975.11348
2022-02-25,Yes,2025-02-07,154.0,154,88210.68799160671,88810.68799160671,20416047.790031604,56125.687991606705,32085.0,61,93,2934381.61896
2022-03-04,Yes,2025-02-07,153.0,153,87144.78472006918,87744.78472006918,20055236.730280068,55749.784720069176,31395.0,62,91,2882408.7894400004
2022-03-11,Yes,2025-02-14,153.0,153,86305.24317231501,86905.24317231501,24647378.641212314,54910.24317231501,31395.0,62,91,2793606.00196
2022-03-18,Yes,2025-02-14,152.0,152,85359.38706920095,85959.38706920095,23848661.9783592,53964.38706920096,31395.0,61,91,2702637.35071
2022-03-25,Yes,2025-02-14,151.0,151,84285.94540306496,84885.94540306496,23172138.428233065,52200.945403064965,32085.0,58,93,2625654.81017
2022-04-01,Yes,2025-02-14,150.0,150,82879.63507405942,83479.63507405942,22298400.497654058,51484.63507405942,31395.0,59,91,2526233.48642
2022-04-08,Yes,2025-02-14,149.0,149,80558.82822983903,81158.82822983903,21452119.38222984,48818.828229839026,31740.0,57,92,2430167.051
2022-04-14,Yes,2025-02-14,148.0,148,78862.05053050729,79462.05053050729,21026896.48109051,46087.050530507295,32775.0,53,95,2382021.0654400005
2022-04-22,Yes,2025-02-14,147.0,147,76633.6630934568,77233.6630934568,20463505.457613457,42823.663093456795,33810.0,49,98,2318222.08948
2022-04-29,Yes,2025-02-14,146.0,146,76200.98723635335,76800.98723635335,20058658.23323635,42045.98723635335,34155.0,47,99,2272101.528999999
2022-05-06,Yes,2025-04-11,153.0,153,77859.00223764012,78459.00223764012,28365204.83527764,40944.002237640125,36915.0,46,107,2190766.2499599997
2022-05-13,Yes,2025-04-11,152.0,152,76182.01596197738,76782.01596197738,27629703.79919198,38577.01596197738,37605.0,43,109,2133884.63877
2022-05-20,Yes,2025-04-11,151.0,151,75531.05526505012,76131.05526505012,26949051.646205053,37926.05526505012,37605.0,42,109,2081037.4290600002
2022-05-27,Yes,2025-04-11,150.0,150,74220.66819622021,74820.66819622021,26228924.629516218,36270.66819622021,37950.0,40,110,2025273.2836799999
2022-06-03,Yes,2025-04-11,149.0,149,72529.5352281884,73129.5352281884,25184611.566798188,34579.5352281884,37950.0,39,110,1944347.32943
2022-06-10,Yes,2025-04-11,148.0,148,70943.48479252472,71543.48479252472,24088324.405092523,32993.48479252471,37950.0,38,110,1859358.5687000002
2022-06-17,Yes,2025-04-11,147.0,147,69566.92544739209,70166.92544739209,23047269.553517394,32306.925447392096,37260.0,39,108,1778617.48293
2022-06-24,Yes,2025-04-11,146.0,146,67824.04551120993,68424.04551120993,22331650.227991212,28494.045511209923,39330.0,32,114,1723297.6835200002
2022-07-01,Yes,2025-04-11,145.0,145,66705.48473720401,67305.48473720401,21306095.3264072,28410.484737204013,38295.0,34,111,1643701.24933
2022-07-08,Yes,2025-04-11,144.0,144,65670.91484421436,66270.91484421436,20930902.604494218,27030.914844214367,38640.0,32,112,1614726.1653500004
2022-07-15,Yes,2025-04-11,143.0,143,65048.35096197738,65648.35096197738,20245471.409021974,27098.35096197738,37950.0,33,110,1561500.4699399997
2022-07-22,Yes,2025-04-25,144.0,144,65221.27326505012,65821.27326505011,36889537.470495045,26926.27326505012,38295.0,33,111,1508074.41877
2022-07-29,Yes,2025-04-25,143.0,143,64556.91619622021,65156.91619622021,35735219.78905622,26261.916196220212,38295.0,32,111,1460571.64914
2022-08-05,Yes,2025-04-25,142.0,142,63864.35223635334,64464.35223635334,34402075.667436354,25224.352236353345,38640.0,30,112,1405694.5788000003
2022-08-12,Yes,2025-04-25,141.0,141,62201.749878333925,62801.749878333925,32946430.869708337,23906.74987833393,38295.0,30,111,1345997.3241699997
2022-08-19,Yes,2025-04-25,140.0,140,61095.90943349335,61695.90943349335,31711710.937823497,22110.90943349335,38985.0,27,113,1295284.8376099998
2022-08-26,Yes,2025-04-25,139.0,139,60020.18701769698,60620.18701769698,30366658.480107702,21035.187017696982,38985.0,26,113,1239992.05791
2022-09-02,Yes,2025-04-25,138.0,138,58990.60475746824,59590.60475746824,29045841.91942747,20695.604757468238,38295.0,27,111,1185715.63533
2022-09-09,Yes,2025-04-25,137.0,137,58977.73391036763,59577.73391036763,27820878.14910037,21027.733910367628,37950.0,27,110,1135143.8278100002
2022-09-16,Yes,2025-04-25,136.0,136,58203.55840676057,58803.55840676057,26439743.56796676,20598.558406760567,37605.0,27,109,1078308.0404400001
2022-09-23,Yes,2025-04-25,135.0,135,57747.057528000536,58347.057528000536,25302791.788718,20142.057528000536,37605.0,26,109,1031473.4438099997
2022-09-30,Yes,2025-04-25,134.0,134,57041.48643349335,57641.48643349335,24207790.697323494,19436.486433493348,37605.0,25,109,986436.1801099998
2022-10-07,Yes,2025-04-25,133.0,133,56568.24901769699,57168.24901769699,23173159.695527695,18963.249017696988,37605.0,24,109,943830.3144900001
2022-10-14,Yes,2025-04-25,132.0,132,57309.886685378195,57909.886685378195,22220724.56965538,20394.886685378195,36915.0,25,107,904337.4970299999
2022-10-21,Yes,2025-04-25,131.0,131,57192.73543655651,57792.73543655651,21211135.06619656,20622.73543655651,36570.0,25,106,862675.80924
2022-10-28,Yes,2025-04-25,130.0,130,56648.05884421436,57248.05884421436,20169629.202914216,21113.058844214367,35535.0,27,103,819806.27093
2022-11-04,Yes,2025-05-02,130.0,130,55984.790403064966,56584.790403064966,27570073.965343066,20794.790403064966,35190.0,28,102,774792.8630600001
2022-11-11,Yes,2025-05-02,129.0,129,54931.065536228954,55531.065536228954,26993996.486076232,18361.065536228954,36570.0,23,106,758568.8884600002
2022-11-18,Yes,2025-05-02,128.0,128,54375.01001160664,54975.01001160664,25816688.176281605,17805.01001160664,36570.0,22,106,725078.82973
2022-11-25,Yes,2025-05-02,127.0,127,54209.54701000633,54809.54701000633,24690555.07978001,17639.547010006332,36570.0,21,106,692958.23723
2022-12-02,Yes,2025-05-02,126.0,126,53862.954299231555,54462.954299231555,23598777.389529232,17637.95429923155,36225.0,21,105,661858.44177
2022-12-09,Yes,2025-05-02,125.0,125,54061.09833700617,54661.09833700617,22524273.897267006,18871.098337006177,35190.0,23,102,631122.44007
2022-12-16,Yes,2025-05-02,124.0,124,53846.51333580417,54446.51333580417,21537139.348315805,19346.51333580417,34500.0,24,100,602981.10402
2022-12-23,Yes,2025-05-02,123.0,123,53391.603785458545,53991.603785458545,20605855.830155462,18891.60378545855,34500.0,23,100,576486.0256299999
2022-12-30,Yes,2025-05-09,123.0,123,53608.30117747228,54208.30117747228,20956216.714907475,19453.301177472284,34155.0,24,99,550231.8172699999
2023-01-06,Yes,2025-05-09,122.0,122,53039.203720069185,53639.203720069185,20025695.053310074,19229.203720069185,33810.0,24,98,525407.2544099999
2023-01-13,Yes,2025-05-16,122.0,122,53142.409172315005,53742.409172315005,26104287.958772317,19677.409172315005,33465.0,25,97,501179.21839999995
2023-01-20,Yes,2025-05-16,121.0,121,52343.55653345685,52943.55653345685,24897119.08302346,19913.55653345685,32430.0,27,94,477638.47851000004
2023-01-27,Yes,2025-05-16,120.0,120,51950.19887818843,52550.19887818843,23808481.720348194,19520.198878188425,32430.0,26,94,456345.41753000004
2023-02-03,Yes,2025-05-16,119.0,119,51815.204872524846,52415.204872524846,22759978.881162528,21110.204872524842,30705.0,30,89,435765.83771000005
2023-02-10,Yes,2025-05-16,118.0,118,51242.50426505012,51842.50426505012,22559684.08826505,19502.50426505012,31740.0,26,92,431968.819
2023-02-17,Yes,2025-05-16,117.0,117,50440.89022983902,51040.89022983902,21661455.79225984,18700.890229839017,31740.0,25,92,414503.59397
2023-02-24,Yes,2025-05-16,116.0,116,49423.66025821916,50023.66025821916,20645326.656538222,17683.660258219163,31740.0,24,92,394769.00172
2023-03-03,Yes,2025-05-23,116.0,116,48977.35791217146,49577.35791217146,23383464.451132175,17237.357912171454,31740.0,24,92,375472.12178
2023-03-10,Yes,2025-05-23,115.0,115,48048.82733700617,48648.82733700617,22288226.982747007,16308.827337006174,31740.0,23,92,357606.3075899999
