configuration,idea_id,kind,description,final_balance,cagr_percent,closed_trade_drawdown,daily_equity_drawdown,closed_dd_improvement_pp,daily_dd_improvement_pp,cagr_change_pp,cagr_retention,trades,weeks,days_in_position
leverage_override,114,single,60m <= -2.560%,327340453.4508706,249.70887886755588,0.9901997685449483,0.991346918714314,-2.0723402344923425,-1.7988574120890721,-130.6654108857503,0.6564820115195114,433,433,1338
leverage_override,115,single,60m <= -2.680%,183230887.38251013,226.1069981821293,0.9895145762366164,0.9908082186229427,-2.0038210036591564,-1.7449874029519363,-154.26729157117688,0.5944329158754978,433,433,1344
leverage_override,116,single,60m <= -2.800%,406614196.12769985,258.96191669396575,0.9897083422475308,0.9909605579976188,-2.023197604750593,-1.7602213404195544,-121.41237305934044,0.6808081504717811,433,433,1346
leverage_override,117,single,60m <= -2.920%,1371241321.680651,315.54980704253524,0.9694763662000249,0.9733583445934233,0.0,0.0,-64.82448271077095,0.8295771179676386,433,433,1348
leverage_override,118,single,60m <= -3.040%,1828481117.842,330.20262249506055,0.9694763662000249,0.9733583445934233,0.0,0.0,-50.171667258245634,0.8680992154049509,433,433,1351
leverage_override,119,single,60m <= -3.160%,1667808263.1450925,325.4640421697584,0.9694763662000249,0.9733583445934233,0.0,0.0,-54.9102475835478,0.855641537657132,433,433,1351
leverage_override,120,single,60m <= -3.280%,1671706052.0310903,325.5836600300107,0.9694763662000249,0.9733583445934233,0.0,0.0,-54.79062972329547,0.8559560117513982,433,433,1351
leverage_override,121,confirmation,1m <= -0.200% AND 5m <= -0.400%,7596927.437360002,122.27624889280139,0.842001618733489,0.842001618733489,12.747474746653587,13.13567258599343,-258.0980408605048,0.3214629699922787,433,433,1048
leverage_override,122,confirmation,1m <= -0.235% AND 5m <= -0.455%,483691.47817999957,59.536334830096436,0.9713717348338167,0.9713717348338167,-0.18953686337918052,0.1986609759606628,-320.83795492320974,0.15652039697191167,433,433,1181
leverage_override,123,confirmation,1m <= -0.270% AND 5m <= -0.510%,291508.49701000005,50.098610747499265,0.9829150588780419,0.9829150588780419,-1.3438692678017006,-0.9556714284618573,-330.2756790058069,0.1317087197980468,433,433,1231
leverage_override,124,confirmation,1m <= -0.305% AND 5m <= -0.565%,2287506.39468,92.3622479000776,0.979902762274157,0.979902762274157,-1.0426396074132094,-0.6544417680733661,-288.0120418532286,0.24281937656716926,433,433,1274
leverage_override,125,confirmation,1m <= -0.340% AND 5m <= -0.620%,20426417.38299995,150.3922991092769,0.9717193352539967,0.9717193352539967,-0.22429690539718106,0.16390093394266225,-229.98199064402928,0.3953797697704928,433,433,1299
leverage_override,126,confirmation,1m <= -0.375% AND 5m <= -0.675%,10540861.194139998,131.2180321013702,0.9756029415188021,0.9756029415188021,-0.612657531877725,-0.22445969253788167,-249.156257651936,0.3449708238337359,433,433,1308
leverage_override,127,confirmation,1m <= -0.410% AND 5m <= -0.730%,66078105.62794998,188.41651930004,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-191.9577704532662,0.49534504401503726,433,433,1331
leverage_override,128,confirmation,1m <= -0.445% AND 5m <= -0.785%,89356027.98381996,199.09106115820853,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-181.28322859509765,0.5234083020893188,433,433,1334
leverage_override,129,confirmation,1m <= -0.480% AND 5m <= -0.840%,382108082.4637597,256.2849006027501,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-124.08938915055609,0.6737703033739874,433,433,1339
