idea_id,family,description,final_balance,deposited,cagr_percent,daily_drawdown,closed_drawdown,trades,days_in_position,dd_improvement_pp,cagr_change_pp,cagr_retention
23,entry+persistence,"{""entry_loss"": 0.03, ""opening_range_minutes"": 15, ""persistence"": 10}",44691244592.37203,10000.0,532.1717753701936,0.8505796375052507,0.8500087788586352,376,1136,-0.38559205863114565,-319.04506954246006,0.6251894315188296
24,entry+persistence,"{""entry_loss"": 0.03, ""opening_range_minutes"": 15, ""persistence"": 15}",74429290088.20427,10000.0,572.2196793464,0.8522720972508038,0.8517077046257108,376,1137,-0.5548380331864555,-278.99716556625367,0.6722372598313858
25,entry+persistence,"{""entry_loss"": 0.03, ""opening_range_minutes"": 15, ""persistence"": 30}",117232493479.75104,10000.0,610.0207477077614,0.8558100955278891,0.8552592197814496,376,1140,-0.9086378608949897,-241.19609720489223,0.7166455308698194
26,failed-recovery,"{""entry_loss"": 0.01, ""failed_recovery_minutes"": 5, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.005}",128349585.0974799,10000.0,212.4225142286861,0.7332987325061302,0.7332987325061302,376,897,11.342498441280902,-638.7943306839675,0.24955158664709406
27,failed-recovery,"{""entry_loss"": 0.01, ""failed_recovery_minutes"": 10, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.005}",138472105.09823003,10000.0,215.29158845842323,0.7328329056970136,0.7328329056970136,376,901,11.389081122192557,-635.9252564542304,0.2529221428653883
28,failed-recovery,"{""entry_loss"": 0.01, ""failed_recovery_minutes"": 15, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.005}",359954716.25737995,10000.0,253.73160182931466,0.7338498801719318,0.7338498801719318,376,906,11.287383674700745,-597.485243083339,0.2980810393329927
29,failed-recovery,"{""entry_loss"": 0.01, ""failed_recovery_minutes"": 30, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.005}",522229486.4759101,10000.0,269.94378288989753,0.7117021134598872,0.7117021134598872,376,916,13.502160345905201,-581.2730620227561,0.31712692776609397
30,failed-recovery,"{""entry_loss"": 0.01, ""failed_recovery_minutes"": 60, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.005}",354296428.40939003,10000.0,253.05732271267857,0.7151580883629447,0.7151580883629447,376,938,13.156562855599452,-598.1595221999751,0.29728890379119044
31,failed-recovery,"{""entry_loss"": 0.015, ""failed_recovery_minutes"": 5, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0075}",339700651.28472984,10000.0,251.27323519199237,0.8023078467829775,0.8023078467829775,376,1010,4.4415870135961715,-599.9436097206612,0.2951929777867312
32,failed-recovery,"{""entry_loss"": 0.015, ""failed_recovery_minutes"": 10, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0075}",500256498.4027207,10000.0,268.03371983583963,0.8025750900684212,0.8025750900684212,376,1014,4.414862685051801,-583.183125076814,0.3148830071182902
33,failed-recovery,"{""entry_loss"": 0.015, ""failed_recovery_minutes"": 15, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0075}",508203078.76356965,10000.0,268.7328652165525,0.8138326340096745,0.8108484471367476,376,1014,3.289108290926468,-582.4839796961012,0.31570435526816687
